,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,Participant,Domain,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
62,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,673,Hiring,,,,,,,,,,,,,,,,,,,,,,
63,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,457,Hiring,,,,,,,,,,,,,,,,,,,,,,
64,Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Agree,682,Hiring,,,,,,,,,,,,,,,,,,,,,,
65,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,444,Hiring,,,,,,,,,,,,,,,,,,,,,,
66,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Strongly Disagree,579,Hiring,,,,,,,,,,,,,,,,,,,,,,
67,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,219,Hiring,,,,,,,,,,,,,,,,,,,,,,
68,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,581,Hiring,,,,,,,,,,,,,,,,,,,,,,
69,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,314,Hiring,,,,,,,,,,,,,,,,,,,,,,
70,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,540,Hiring,,,,,,,,,,,,,,,,,,,,,,
71,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,37,Hiring,,,,,,,,,,,,,,,,,,,,,,
