,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
12,4.0,4.0,4.0,4.0,2.0,4.0,5.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
13,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
14,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
15,4.0,2.0,1.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0
16,4.0,5.0,4.0,4.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
17,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0
18,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0
19,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0
22,5.0,4.0,3.0,4.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0
23,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0
24,4.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0
25,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
26,2.0,2.0,4.0,2.0,3.0,5.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0
