,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
131,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0
132,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
133,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0
134,2.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,4.0
135,4.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,2.0,5.0,3.0
136,4.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0
137,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0
138,3.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0
139,5.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0
140,5.0,5.0,4.0,5.0,2.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
141,4.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0
142,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
143,4.0,2.0,3.0,4.0,2.0,5.0,5.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0
144,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0
145,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
146,5.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,2.0,5.0,4.0
147,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0
148,5.0,5.0,5.0,4.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
149,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
150,2.0,2.0,5.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0
151,5.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,5.0,3.0,4.0,5.0,2.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0
152,4.0,4.0,3.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0
153,4.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0
154,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0
155,4.0,4.0,4.0,5.0,1.0,4.0,4.0,4.0,2.0,3.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,4.0,2.0
156,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0
157,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0
158,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0
159,4.0,5.0,5.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
160,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0
161,5.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0
162,3.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0
163,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,5.0,3.0,2.0,5.0,4.0
164,3.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0
165,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0
166,3.0,3.0,4.0,1.0,5.0,5.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,3.0,1.0,2.0,1.0
167,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
